,0
0,24.352156
1,36.158897
2,56.881508
3,75.9284
4,78.579735
5,88.17538
6,95.33224
7,75.852264
8,71.95442
9,87.9712
10,86.70543
11,98.6394
12,96.67303
13,89.95519
14,90.87688
15,67.999886
16,47.189144
17,51.38497
18,57.928543
19,42.59068
20,43.879066
21,24.125168
22,26.144732
23,32.336376
24,52.28232
25,107.73968
26,348.36484
27,343.11948
28,320.85403
29,284.2964
30,189.44745
31,137.87804
32,191.82716
33,216.86862
34,178.77792
35,192.57948
36,175.28192
37,175.1561
38,225.95103
39,281.4994
40,267.93762
41,188.3002
42,129.79143
43,73.41877
44,58.61265
45,54.83355
46,34.707867
47,35.789577
48,55.45053
49,119.79493
50,345.85397
51,369.11508
52,331.46475
53,284.7462
54,263.4849
55,241.0906
56,175.88846
57,216.65666
58,222.36899
59,187.48476
60,150.22781
61,248.36508
62,258.29984
63,290.15866
64,275.9458
65,170.57214
66,104.98267
67,77.55242
68,68.8633
69,42.1582
70,29.046013
71,31.377668
72,55.73622
73,109.54613
74,269.1735
75,332.12558
76,356.3608
77,329.3108
78,247.4565
79,255.46072
80,245.79529
81,151.38168
82,208.54971
83,165.89975
84,167.51472
85,307.72583
86,281.87253
87,224.88412
88,262.75787
89,153.9974
90,110.20838
91,66.34023
92,57.625694
93,34.43156
94,22.719069
95,29.697275
96,57.584766
97,113.83665
98,340.80066
99,372.89304
100,363.50735
101,360.44144
102,302.58298
103,249.38536
104,217.86917
105,250.01825
106,265.47626
107,250.75792
108,251.62299
109,269.83273
110,302.31323
111,293.547
112,220.05345
113,121.822395
114,122.61343
115,125.318375
116,83.44812
117,35.71746
118,36.78557
119,36.1845
120,62.672714
121,111.23558
122,326.6221
123,359.66064
124,356.67642
125,316.4684
126,241.87141
127,235.94777
128,265.9668
129,271.43146
130,262.23224
131,208.25246
132,241.77951
133,229.66234
134,247.30588
135,253.31366
136,283.778
137,242.56837
138,157.3229
139,94.26348
140,60.950054
141,53.35004
142,42.27559
143,33.26287
144,39.668358
145,93.02726
146,130.51091
147,164.5088
148,196.70735
149,160.94646
150,198.69495
151,176.8592
152,177.44563
153,165.09035
154,163.96364
155,152.83253
156,137.2113
157,175.1659
158,159.32104
159,148.67365
